ID_run	Type
ERR2815565	M. bovis
ERR2815563	M. bovis
ERR2815562	M. bovis
ERR2815561	M. bovis
ERR2815560	M. bovis
ERR2815559	M. bovis
ERR2815558	M. bovis
ERR2815557	M. bovis
ERR2815556	M. bovis
ERR2815555	M. bovis
ERR2815554	M. bovis
ERR2815553	M. bovis
ERR2815552	M. bovis
ERR2815551	M. bovis
ERR2815549	M. bovis
ERR2815548	M. bovis
ERR2815547	M. bovis
ERR2815546	M. bovis
ERR2815545	M. bovis
ERR2815544	M. bovis
ERR2815543	M. bovis
ERR2815542	M. bovis
ERR2815541	M. bovis
ERR2815540	M. bovis
ERR2815539	M. bovis
ERR2815538	M. bovis
ERR2815534	M. bovis
ERR2815532	M. bovis
ERR2815531	M. bovis
ERR2815530	M. bovis
ERR2815529	M. bovis
ERR2815528	M. bovis
ERR2815526	M. bovis
ERR2815525	M. bovis
ERR2815523	M. bovis
ERR2815522	M. bovis
ERR2815521	M. bovis
ERR2815519	M. bovis
ERR2815517	M. bovis
ERR2815516	M. bovis
ERR2815513	M. bovis
ERR2815509	M. bovis
ERR2815506	M. bovis
SRR1791692	M. bovis
SRR1791693	M. bovis
SRR1791695	M. bovis
SRR1791697	M. bovis
SRR1791698	M. bovis
SRR1791699	M. bovis
